"","Sample","CoverageType","Coverage"
"1","epois","MeanCoverage",0.305
"2","epois","MeanCoverage",0.555
"3","epois","MeanCoverage",0.645
"4","epois","MeanCoverage",0.556
"5","epois","MeanCoverage",0
"6","epois","MeanCoverage",0.307
"7","epois","MeanCoverage",0.521
"8","epois","MeanCoverage",0.582
"9","epois","MeanCoverage",0.21
"10","epois","MeanCoverage",0.41
"11","epois","MeanCoverage",0.633
"12","epois","MeanCoverage",0.757
"13","epois","MeanCoverage",0.188
"14","epois","MeanCoverage",0.717
"15","epois","MeanCoverage",0.569
"16","epois","MeanCoverage",0.763
"17","epois","MeanCoverage",0.774
"18","epois","MeanCoverage",0.61
"19","epois","MeanCoverage",0.398
"20","epois","MeanCoverage",0.563
"21","epois","MeanCoverage",0.557
"22","epois","MeanCoverage",0.552
"23","epois","MeanCoverage",0.568
"24","epois","MeanCoverage",0.707
"25","epois","MeanCoverage",0.609
"26","epois","MeanCoverage",0.137
"27","epois","MeanCoverage",0.091
"28","epois","MeanCoverage",0.498
"29","epois","MeanCoverage",0.162
"30","epois","MeanCoverage",0.838
"31","epois","MeanCoverage",0.591
"32","epois","MeanCoverage",0.531
"33","epois","MeanCoverage",0.449
"34","epois","MeanCoverage",0.694
"35","epois","MeanCoverage",0.533
"36","epois","MeanCoverage",0.449
"37","epois","MeanCoverage",0.628
"38","epois","MeanCoverage",0.498
"39","epois","MeanCoverage",0.469
"40","epois","MeanCoverage",1
"41","epois","MeanCoverage",0.495
"42","epois","MeanCoverage",0.449
"43","epois","MeanCoverage",0
"44","epois","MeanCoverage",0.54
"45","epois","MeanCoverage",0.62
"46","epois","MeanCoverage",1
"47","epois","MeanCoverage",0.743
"48","epois","MeanCoverage",0.601
"49","epois","MeanCoverage",0.432
"50","epois","MeanCoverage",0.268
"51","epois","MeanCoverage",0.665
"52","epois","MeanCoverage",0.655
"53","epois","MeanCoverage",0.319
"54","epois","MeanCoverage",0.658
"55","epois","MeanCoverage",0.53
"56","epois","MeanCoverage",0.597
"57","epois","MeanCoverage",0.272
"58","epois","MeanCoverage",0.559
"59","epois","MeanCoverage",0.641
"60","epois","MeanCoverage",0.965
"61","epois","MeanCoverage",0.487
"62","epois","MeanCoverage",0.522
"63","epois","MeanCoverage",0.829
"64","epois","MeanCoverage",0.044
"65","epois","MeanCoverage",0.579
"66","epois","MeanCoverage",0.966
"67","epois","MeanCoverage",0.5
"68","epois","MeanCoverage",0.222
"69","epois","MeanCoverage",0.26
"70","epois","MeanCoverage",0.708
"71","epois","MeanCoverage",0.522
"72","epois","MeanCoverage",0.756
"73","epois","MeanCoverage",0.406
"74","epois","MeanCoverage",0.243
"75","epois","MeanCoverage",0.875
"76","epois","MeanCoverage",0.71
"77","epois","MeanCoverage",0.593
"78","epois","MeanCoverage",0.548
"79","epois","MeanCoverage",0.494
"80","epois","MeanCoverage",0.373
"81","epois","MeanCoverage",0.591
"82","epois","MeanCoverage",0.564
"83","epois","MeanCoverage",0.48
"84","epois","MeanCoverage",0.188
"85","epois","MeanCoverage",0.587
"86","epois","MeanCoverage",0.65
"87","epois","MeanCoverage",0.403
"88","epois","MeanCoverage",0.534
"89","epois","MeanCoverage",0.73
"90","epois","MeanCoverage",0.096
"91","epois","MeanCoverage",0.538
"92","epois","MeanCoverage",0.356
"93","epois","MeanCoverage",0.577
"94","epois","MeanCoverage",0.306
"95","epois","MeanCoverage",0.607
"96","epois","MeanCoverage",0.635
"97","epois","MeanCoverage",0.568
"98","epois","MeanCoverage",0.751
"99","gorg","MeanCoverage",0.28
"100","gorg","MeanCoverage",0.454
"101","gorg","MeanCoverage",0.199
"102","gorg","MeanCoverage",0.391
"103","gorg","MeanCoverage",0
"104","gorg","MeanCoverage",0.242
"105","gorg","MeanCoverage",0.213
"106","gorg","MeanCoverage",0.476
"107","gorg","MeanCoverage",0.377
"108","gorg","MeanCoverage",0.486
"109","gorg","MeanCoverage",0.476
"110","gorg","MeanCoverage",0.268
"111","gorg","MeanCoverage",0.211
"112","gorg","MeanCoverage",0.506
"113","gorg","MeanCoverage",0.48
"114","gorg","MeanCoverage",0.475
"115","gorg","MeanCoverage",0.571
"116","gorg","MeanCoverage",0.458
"117","gorg","MeanCoverage",0.398
"118","gorg","MeanCoverage",0.38
"119","gorg","MeanCoverage",0.471
"120","gorg","MeanCoverage",0.457
"121","gorg","MeanCoverage",0.44
"122","gorg","MeanCoverage",0.133
"123","gorg","MeanCoverage",0.569
"124","gorg","MeanCoverage",0.205
"125","gorg","MeanCoverage",0.251
"126","gorg","MeanCoverage",0.423
"127","gorg","MeanCoverage",0.433
"128","gorg","MeanCoverage",0.314
"129","gorg","MeanCoverage",0.439
"130","gorg","MeanCoverage",0.397
"131","gorg","MeanCoverage",0.353
"132","gorg","MeanCoverage",0.34
"133","gorg","MeanCoverage",0.311
"134","gorg","MeanCoverage",0.336
"135","gorg","MeanCoverage",0.126
"136","gorg","MeanCoverage",0.43
"137","gorg","MeanCoverage",0.372
"138","gorg","MeanCoverage",0.382
"139","gorg","MeanCoverage",0.843
"140","gorg","MeanCoverage",0.47
"141","gorg","MeanCoverage",0.393
"142","gorg","MeanCoverage",0.218
"143","gorg","MeanCoverage",0.375
"144","gorg","MeanCoverage",0.406
"145","gorg","MeanCoverage",0.994
"146","gorg","MeanCoverage",0.636
"147","gorg","MeanCoverage",0.369
"148","gorg","MeanCoverage",0.53
"149","gorg","MeanCoverage",0.289
"150","gorg","MeanCoverage",0.455
"151","gorg","MeanCoverage",0.005
"152","gorg","MeanCoverage",0.498
"153","gorg","MeanCoverage",0.335
"154","gorg","MeanCoverage",0.549
"155","gorg","MeanCoverage",0.416
"156","gorg","MeanCoverage",0.393
"157","gorg","MeanCoverage",0.367
"158","gorg","MeanCoverage",0.436
"159","gorg","MeanCoverage",0.603
"160","gorg","MeanCoverage",0.518
"161","gorg","MeanCoverage",0.344
"162","gorg","MeanCoverage",0.43
"163","gorg","MeanCoverage",0.612
"164","gorg","MeanCoverage",0.206
"165","gorg","MeanCoverage",0.347
"166","gorg","MeanCoverage",0.03
"167","gorg","MeanCoverage",0.385
"168","gorg","MeanCoverage",0.506
"169","gorg","MeanCoverage",0.743
"170","gorg","MeanCoverage",0.548
"171","gorg","MeanCoverage",0.449
"172","gorg","MeanCoverage",0.61
"173","gorg","MeanCoverage",0.364
"174","gorg","MeanCoverage",0.187
"175","gorg","MeanCoverage",0.429
"176","gorg","MeanCoverage",0.289
"177","gorg","MeanCoverage",0.123
"178","gorg","MeanCoverage",0.482
"179","gorg","MeanCoverage",0.313
"180","gorg","MeanCoverage",0.31
"181","gorg","MeanCoverage",0.448
"182","gorg","MeanCoverage",0.307
"183","gorg","MeanCoverage",0.396
"184","gorg","MeanCoverage",0.168
"185","gorg","MeanCoverage",0.458
"186","gorg","MeanCoverage",0.452
"187","gorg","MeanCoverage",0.39
"188","gorg","MeanCoverage",0.345
"189","gorg","MeanCoverage",0.466
"190","gorg","MeanCoverage",0.284
"191","gorg","MeanCoverage",0.422
"192","gorg","MeanCoverage",0.36
